# E [eV], EF_E [erg/cm2s], sigma_EF_E [erg/cm2s]
5.572767477354059751e-02,3.346802890347183424e-12,1.181421420292555769e-12
5.574265734465300159e-02,3.221429083805617731e-12,1.137164466583383076e-12
5.575764797416031537e-02,3.305908052864718798e-12,1.166985542661245643e-12
5.577264666856558695e-02,3.357362362742016866e-12,1.185148914047931830e-12
5.578765343437889351e-02,3.150553998733887008e-12,1.112145561553062098e-12
5.580266827811731362e-02,3.381709917662725096e-12,1.193743600934941868e-12
5.581769120630498959e-02,3.372750495100421448e-12,1.190580924770448788e-12
5.583272222547300961e-02,3.179819108079812134e-12,1.122476145152173601e-12
5.584776134215955340e-02,3.280246163407275858e-12,1.157926895682768408e-12
5.586280856290982977e-02,3.271016215961585029e-12,1.154668724234439534e-12
5.587786389427610440e-02,3.265977183520828858e-12,1.152889945782852614e-12
5.589292734281772063e-02,3.232133832807139505e-12,1.140943242980920180e-12
5.590799891510108560e-02,3.261973574653487789e-12,1.151476671852681122e-12
5.592307861769967720e-02,3.308866555367995293e-12,1.168029894044902370e-12
5.593816645719410646e-02,3.246507841551678901e-12,1.146017268067742639e-12
5.595326244017203438e-02,3.377427815078960558e-12,1.192232018722873094e-12
5.596836657322828978e-02,3.284146732530477030e-12,1.159303796583258273e-12
5.598347886296478615e-02,3.179378824019241531e-12,1.122320724878792213e-12
5.599859931599058399e-02,3.249719821202595067e-12,1.147151096884515951e-12
5.601372793892189089e-02,3.230381911968848373e-12,1.140324814925003440e-12
5.602886473838204762e-02,3.241899403742898776e-12,1.144390489521243304e-12
5.604400972100156975e-02,3.208846057761269025e-12,1.132722658389727991e-12
5.605916289341816156e-02,3.247588651865307555e-12,1.146398794108453501e-12
5.607432426227667438e-02,3.323248543878044336e-12,1.173106735988949605e-12
5.608949383422915519e-02,3.278120903736058864e-12,1.157176679018828755e-12
5.610467161593485352e-02,3.330952400839758191e-12,1.175826197496434556e-12
5.611985761406027701e-02,3.408709626063442165e-12,1.203274498000395028e-12
5.613505183527908032e-02,3.360724132306314493e-12,1.186335618704128904e-12
5.615025428627217624e-02,3.190872690686640255e-12,1.126378059812383950e-12
5.616546497372772867e-02,3.270819030112948198e-12,1.154599117629870671e-12
5.618068390434114573e-02,3.353228689082824532e-12,1.183689727246237045e-12
5.619591108481507280e-02,3.299133679867049945e-12,1.164594188993068662e-12
5.621114652185944804e-02,3.309603317285543824e-12,1.168289971001796911e-12
5.622639022219148852e-02,3.406113424955125322e-12,1.202358039009159136e-12
5.624164219253569713e-02,3.281116064503066530e-12,1.158233970769582339e-12
5.625690243962386261e-02,3.089643197445581429e-12,1.090644048698290145e-12
5.627217097019507341e-02,3.327567227141651527e-12,1.174631231181002836e-12
5.628744779099577322e-02,3.314180451056414431e-12,1.169905699222914253e-12
5.630273290877971237e-02,3.325123706244099665e-12,1.173768668304167214e-12
5.631802633030797561e-02,3.405712625612654002e-12,1.202216556841266856e-12
5.633332806234899598e-02,3.296212998943686180e-12,1.163563188627121194e-12
5.634863811167854786e-02,3.412879974760759697e-12,1.204746631090548179e-12
5.636395648507983719e-02,3.357297864051128257e-12,1.185126146010048290e-12
5.637928318934339739e-02,3.330725204334776529e-12,1.175745997130176055e-12
5.639461823126714485e-02,3.339064553288613149e-12,1.178689787310880357e-12
5.640996161765638589e-02,3.319604927615567036e-12,1.171820539448295147e-12
